Пол;Physical Aggression;Anger;Hostility;Всесилие;Неуязвимость;Уникальность;ГЧС;ПФ;ВСУ;ППВВ;ООО;ММО;ОЭ;СЧЗ;ДЗП;ОШКМ;ШЭС;ШЭМ;ШПС;ШКМ;ШНО;ШЛСМ;ШВ;ШСЖ;ШЛ;1Директивный стиль;2Аналитический стиль;3Концептуальный стиль;4Поведенческий стиль;Безопасность;Конформизм;Традиция;Самостьятельность;Риск-новизна;Гедонизм;Достижение;Власть-Богатство;Благожелательность;Универсализм;Неув.в прич.;Новизна;Сложность;Нерешенность;Общий ;Политика;Личный опыт;Воспитание;Спорт;СМИ;Общий;E';E;e;I';I;i;M';M;m;E||;I||;i||;OD;ED;NP;сложные;GCR;F1 (ОПС);F2 (ОПС);F1 (ША);F2 (ША)
2;27;26;29;67;38;43;44,29;48,75;40;44,29;44,29;42,5;31;38,75;30;89;75;37;43;39;39;13;33;29;22;34;31;30;35;4;9;6;3;6;5;3;6;7;6;60;8;48;8;64;51;26;22;10;16;65;3;11,5;4,5;0,5;0,5;1,5;2,5;0;0;19;2,5;2,5;6;12;6;8;6,5;12;20;28;14
2;16;20;15;52;32;38;28,57;25;31,67;28,57;31,43;25;29;25;28,33;119;100;25;35;32;33;11;33;34;17;45;40;41;34;9;10;10;5;4;9;11;10;9;6;59;8;48;8;64;23;20;13;13;23;39;3,5;7;2;1;3,5;1,5;3;1,5;1;12,5;6;5,5;7,5;12;4,5;1;9;11;19;22;12
2;20;27;19;61;41;40;35,71;33,75;28,33;34,29;32,86;31,25;34;32,5;21,67;113;99;34;44;38;40;12;29;28;20;32;34;45;37;5;7;5;5;5;6;6;8;7;5;66;8;48;8;64;53;37;16;13;26;76;5;4;2,5;0;2;7;3;0,5;0;11,5;9;3,5;8;6,5;7,5;10;9;17;22;22;15
2;11;14;11;55;37;42;31,43;42,5;36,67;38,57;35,71;31,25;19;31,25;16,67;118;107;25;37;26;28;7;34;34;20;37;32;34;35;5;7;6;4;6;8;5;9;10;4;63;8;48;8;64;34;28;16;7;21;65;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;17;21;25;9
1;33;21;25;73;45;36;40;42,5;36,67;32,86;25,71;20;29;23,75;33,33;138;122;22;43;24;38;5;34;31;20;39;34;44;39;7;7;6;4;6;5;4;6;5;7;76;8;48;8;64;40;40;12;12;20;63;2;11;4;1;0;2;3;1;0;17;3;4;6;12;6;3;?;13;22;16;8
2;13;21;29;66;28;53;38,57;37,5;45;42,86;40;35;29;42,5;15;106;91;30;55;39;49;14;32;26;25;37;26;38;23;2;5;7;6;6;3;4;8;4;2;61;8;48;8;64;39;33;14;13;31;66;2;2;2,5;1;4;5;1,5;4,5;0,5;6,5;10;6,5;4,5;10,5;8;2;6;15;23;23;15
2;11;29;27;60;31;53;30;25;40;22,86;30;31,25;19;37,5;11,67;65;58;53;39;43;34;13;31;26;17;44;42;35;26;4;8;5;6;4;6;8;11;3;3;69;8;48;8;64;33;16;9;8;21;46;3;8,5;2,5;0;0,5;2,5;5,5;1;0,5;14;3;7;8,5;10;5,5;4;6;8;14;19;9
2;11;14;15;57;29;33;28,57;35;35;30;24,29;25;16;22,5;13,33;122;101;19;36;24;32;9;33;30;25;47;41;45;37;5;6;4;7;8;11;6;10;7;6;68;8;48;8;64;20;10;11;9;32;37;1,5;0,5;3;1;3;8,5;2;3,5;1;5;12,5;6,5;4,5;7;12,5;17;3,5;18;20;21;10
2;11;27;25;47;43;44;47,14;46,25;35;45,71;32,86;38,75;35;30;18,33;98;96;49;45;45;41;6;27;26;15;40;47;36;33;7;12;9;4;2;2;4;4;5;4;71;8;48;8;64;27;26;7;15;20;48;6;6,5;2;0;3;3;2,5;1;0;14,5;6;3,5;8,5;10,5;5;7;6;5;15;18;12
2;25;27;24;55;29;35;32,86;38,75;35;42,86;45,71;36,25;31;45;18,33;81;47;21;43;47;27;16;31;29;17;31;31;40;26;2;10;8;5;7;5;3;7;4;3;50;8;48;8;64;28;15;7;12;18;42;6;5;4;0,5;1;3,5;1,5;1,5;1;15;5;4;8;7,5;8,5;10;5;13;19;26;14
2;23;17;16;62;50;43;41,43;32,5;30;30;34,29;35;26;27,5;35;107;101;36;42;39;41;11;31;24;26;44;44;37;40;4;7;7;9;10;9;8;6;11;6;53;8;48;8;64;39;29;20;22;31;77;1;9;4;0;1;3;5,5;0;0,5;14;4;6;6,5;10;7,5;4;6;9;28;23;13
2;15;15;21;63;43;43;31,43;36,25;36,67;38,57;40;25;25;32,5;16,67;101;98;42;44;33;39;11;34;28;24;47;40;41;37;5;8;5;4;5;3;5;7;6;3;66;8;48;8;64;32;19;13;11;31;52;3,5;3;3;0;3;5;5,5;1;0;9,5;8;6,5;9;7;8;0,5;9;15;19;27;11
2;20;23;17;61;41;40;40;45;36,67;35,71;40;28,75;24;26,25;25;126;109;22;42;27;29;9;30;32;19;44;45;42;42;9;9;9;7;5;5;8;9;10;4;64;8;48;8;64;31;23;11;6;30;43;2;10,5;1;1;2,5;2,5;4;0,5;0;13,5;6;4,5;7;13,5;3,5;1;12;12;16;18;7
2;13;10;9;56;39;38;18,57;26,25;31,67;21,43;27,14;31,25;20;20;10;130;112;27;46;19;28;10;32;40;24;41;34;30;35;7;10;3;3;3;6;9;12;4;2;80;8;48;8;64;38;13;14;8;27;48;2,5;6;2;?;3;1,5;6;1;2;10,5;4,5;9;8,5;10;5,5;4;9,5;14;21;24;10
2;11;28;18;72;52;25;27,14;21,25;23,33;24,29;28,57;28,75;31;26,25;30;96;99;29;32;47;28;9;35;25;19;41;47;44;41;2;7;9;7;5;3;2;5;12;9;50;8;48;8;64;39;28;18;11;38;68;2;14;3;0;0;3;2;0;0;19;3;2;4;14;6;0;5;26;11;19;9
2;20;22;24;67;36;41;37,14;35;33,33;35,71;34,29;37,5;29;32,5;23,33;93;89;48;43;44;44;12;33;24;21;41;59;57;43;6;9;7;4;2;2;5;5;7;9;61;8;48;8;64;54;29;24;9;31;74;3;7;3;1;3;2;3;2;0;13;6;5;7;12;5;3;2;11;20;29;15
2;23;29;24;65;40;36;34,29;28,75;33,33;40;42,86;33,75;29;40;20;79;67;35;39;42;32;13;30;28;22;41;39;43;45;6;6;8;5;7;6;4;4;9;6;62;8;48;8;64;34;24;10;13;27;55;3;6;3;?;1;2,5;6;2;0,5;12;3,5;8,5;9;9;6;3;9;21;25;42;12
